"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
1946694478,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.854717,48.178617,NA,2018,"5",24,"Slovakia","54462-771",NA,"FR","omoka, um den Waldparkplatz","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,84,"Flavoparmelia caperata"
1946694479,"828a3d8c-f762-11e1-a439-00145eb45e9a",20.46555,48.48,NA,2018,"5",25,"Slovakia","54602-771",NA,"FR","nördlich der Straße Gömörhosszúszó - Aggtelek","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,83,"Flavoparmelia caperata"
1949713891,"828a3d8c-f762-11e1-a439-00145eb45e9a",18.740833,47.832783,NA,2018,"5",21,"Slovakia","54384-771",NA,"FR","über Garamkövesd","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,107,"Flavoparmelia caperata"
2013824342,"828a3d8c-f762-11e1-a439-00145eb45e9a",19.94075,48.2113,NA,2018,"5",23,"Slovakia","54421-771",NA,"FR","oberhalb von Pirsenstein (Hajnácka)","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,92,"Flavoparmelia caperata"
1945678166,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.821533,53.462083,NA,2018,"8",11,"Germany","54735-771",NA,"FR","Hamburg-Fischbek: Scharlbarg, am Schullandheim","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,86,"Flavoparmelia caperata"
2464717315,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657463,48.207441,NA,2018,"9",19,"Ukraine","CWU 203063","Alla Gromakova","CWU","Berehove city",NA,"GBIF",NA,99,"Flavoparmelia caperata"
2464717610,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.657056,48.207454,NA,2018,"9",20,"Ukraine","CWU 202962","Alla Gromakova","CWU","near Berehove",NA,"GBIF",NA,99,"Flavoparmelia caperata"
2464718351,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.645957,48.207194,NA,2018,"9",21,"Ukraine","CWU 203129","Alla Gromakova","CWU","near Berehove city",NA,"GBIF",NA,99,"Flavoparmelia caperata"
2464504682,"8f7e3c45-4d76-4982-9478-651439e0cd4b",14.165703,45.31422,NA,2017,"8",8,"Croatia","TU53068","Anni Küüsvek","TU(M)","Vela Draga matkarada, Učka National Park",NA,"GBIF",NA,127,"Flavoparmelia caperata"
1831779167,"828a3d8c-f762-11e1-a439-00145eb45e9a",12.7625,53.79375,NA,2017,"11",4,"Germany","50591-771",NA,"FR","Waldschulheim Franzensberg","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,81,"Flavoparmelia caperata"
